LBSM,,,,,,,,
CONTAM,tdoacode,tdgroupdnum,Dwelling type (dwtypenx),Dwelling age,ehsepc,ehsepccode,vol,gfa
F3,E00000023,30,"purpose built flat, low rise",post 1990,65,D,184.4,69.6
H2m,E00000024,7,mid terrace,1965 to 1974,52,E,238.6,49.5
H5,E00000024,1,bungalow,1981 to 1990,63,D,316.3,131.8
H1e,E00000024,1,end terrace,1850 to 1899,59,D,539.8,111.3
H4m,E00000024,1,mid terrace,pre 1850,65,D,695.7,103.5
H5,E00000024,1,bungalow,1919 to 1944,62,D,127.3,53
H2e,E00000024,1,end terrace,1965 to 1974,42,E,247.1,49.9
F3,E00000024,1,"purpose built flat, low rise",post 1990,52,E,284.5,80.5
H5,E00000024,1,bungalow,pre 1850,55,D,169.7,63.5
H7,E00000024,1,detached,1919 to 1944,53,E,513.4,97.4
H2e,E00000024,1,end terrace,1919 to 1944,53,E,240.8,52.2
F3,E00000024,2,"purpose built flat, low rise",1945 to 1964,67,D,207.4,37.7
F3,E00000024,7,"purpose built flat, low rise",1900 to 1918,58,D,181,50.3
H2m,E00000024,8,mid terrace,1945 to 1964,65,D,204.4,38.9
H2m,E00000024,9,mid terrace,1900 to 1918,54,E,400.9,46.9
H1m,E00000024,2,mid terrace,1900 to 1918,72,C,586.2,75.3
H3,E00000024,2,semi detached,1919 to 1944,56,D,186.2,36.5
F3,E00000024,11,"purpose built flat, low rise",1945 to 1964,53,E,106.1,40
H5,E00000024,2,bungalow,1850 to 1899,63,D,65.1,29.6
H6,E00000024,63,converted flat,1900 to 1918,66,D,117.9,52.4
H7,E00000024,16,detached,1919 to 1944,60,D,503.5,82.3
H7,E00000024,1,detached,pre 1850,52,E,243,42.9
H2e,E00000024,11,end terrace,1965 to 1974,67,D,139.7,28.2
F3,E00000024,1,"purpose built flat, low rise",1965 to 1974,52,E,180.1,75.1
H2m,E00000024,72,mid terrace,1900 to 1918,64,D,457.4,49.6
H1m,E00000024,1,mid terrace,1900 to 1918,68,D,334.6,60.8
H2m,E00000024,5,mid terrace,pre 1850,66,D,553.5,40
H1m,E00000025,6,mid terrace,1900 to 1918,34,F,260.8,56.6
H1e,E00000025,4,end terrace,1850 to 1899,59,D,539.8,111.3
H4e,E00000025,2,end terrace,pre 1850,54,E,706.4,142.8
H1m,E00000025,19,mid terrace,pre 1850,73,C,551.7,109.3
H4m,E00000025,15,mid terrace,pre 1850,65,D,695.7,103.5
H3,E00000025,4,semi detached,pre 1850,52,E,498.9,136.1
H7,E00000025,2,detached,1919 to 1944,64,D,712.4,117.5
H1e,E00000025,6,end terrace,1900 to 1918,60,D,666.8,94.7
H2e,E00000025,5,end terrace,1919 to 1944,53,E,240.8,52.2
H1m,E00000025,6,mid terrace,1900 to 1918,73,C,312.6,63.6
H2m,E00000025,15,mid terrace,1900 to 1918,67,D,384.2,42.9
H2m,E00000025,2,mid terrace,1919 to 1944,47,E,404.3,54.5
H3,E00000025,2,semi detached,1919 to 1944,71,C,433.5,103.2
H5,E00000025,1,bungalow,1919 to 1944,59,D,155.8,59.9
H7,E00000025,11,detached,1981 to 1990,69,C,295.7,58.6
H7,E00000025,1,detached,1919 to 1944,63,D,471.4,80
H7,E00000025,7,detached,1900 to 1918,47,E,613.2,103.9
H2e,E00000025,3,end terrace,post 1990,76,C,220.4,43.7
H2e,E00000025,4,end terrace,1850 to 1899,57,D,226.6,48.1
H1e,E00000025,6,end terrace,1850 to 1899,54,E,537.7,88.1
H1m,E00000025,15,mid terrace,1900 to 1918,74,C,242.6,53.6
H2m,E00000025,30,mid terrace,1919 to 1944,63,D,319.8,41.7
