nhood,subarea,period,concentration outdoor,concentration indoor (average),I/O,vent-m^3/h,Exposure
E00000023,0,,13.22,11.41,0.87,4459.02,8.72
E00000023,1,,,,,,
E00000023,5,,,,,,
E00000024,0,,13.94,11.41,0.83,5507.71,11.23
E00000024,1,,,,,,
E00000024,2,,,,,,
E00000024,3,,,,,,
E00000024,4,,,,,,
E00000024,5,,,,,,
E00000025,0,,13.94,9.25,0.69,4459.02,11.16
E00000025,1,,,,,,
E00000025,4,,,,,,
E00000025,5,,,,,,
E00000026,0,,,,,,
E00000026,1,,,,,,
E00000026,4,,,,,,
E00000026,5,,,,,,
E00000027,0,,,,,,
E00000027,1,,,,,,
E00000027,4,,,,,,
E00000027,5,,,,,,
E00000035,0,,,,,,
E00000035,1,,,,,,
E00000035,2,,,,,,
E00000035,4,,,,,,
E00000035,5,,,,,,
E00000062,0,,,,,,
E00000062,1,,,,,,
E00000062,2,,,,,,
E00000062,3,,,,,,
E00000062,4,,,,,,
E00000062,5,,,,,,
E00000344,0,,,,,,
E00000344,1,,,,,,
E00000344,2,,,,,,
E00000344,3,,,,,,
E00000344,5,,,,,,
E00000370,0,,,,,,
E00000370,1,,,,,,
E00000375,0,,,,,,
E00000375,1,,,,,,
E00000376,0,,,,,,
E00000376,1,,,,,,
E00000376,5,,,,,,
E00000377,0,,,,,,
E00000377,1,,,,,,
E00000377,5,,,,,,
E00000933,0,,,,,,
E00000933,1,,,,,,
E00000933,2,,,,,,
E00000933,3,,,,,,
E00001295,0,,,,,,
E00001295,1,,,,,,
E00001295,2,,,,,,
E00001295,3,,,,,,
E00001295,5,,,,,,
E00001330,0,,,,,,
E00001330,1,,,,,,
E00001331,0,,,,,,
E00001331,1,,,,,,
E00001432,0,,,,,,
E00001432,1,,,,,,
E00001433,0,,,,,,
E00001433,1,,,,,,
E00001833,0,,,,,,
E00001833,1,,,,,,
E00001833,2,,,,,,
E00001833,3,,,,,,
E00001835,0,,,,,,
E00001835,1,,,,,,
E00001836,0,,,,,,
E00001836,1,,,,,,
E00001836,5,,,,,,
E00001837,0,,,,,,
E00001837,1,,,,,,
E00002079,0,,,,,,
E00002079,1,,,,,,
E00002300,0,,,,,,
E00002300,1,,,,,,
E00002300,2,,,,,,
E00002300,3,,,,,,
E00002300,5,,,,,,
E00002334,0,,,,,,
E00002334,1,,,,,,
E00002334,5,,,,,,
E00002335,0,,,,,,
E00002335,1,,,,,,
E00002336,0,,,,,,
E00002336,1,,,,,,
E00002336,5,,,,,,
E00002337,0,,,,,,
E00002337,1,,,,,,
E00002337,5,,,,,,
E00002740,0,,,,,,
E00002740,1,,,,,,
E00002740,2,,,,,,
E00002740,3,,,,,,
E00002833,0,,,,,,
E00002833,1,,,,,,
E00002833,2,,,,,,
E00002833,3,,,,,,
E00002833,4,,,,,,
E00002833,5,,,,,,
E00003214,0,,,,,,
E00003214,1,,,,,,
E00003214,2,,,,,,
E00003214,3,,,,,,
E00003214,5,,,,,,
E00003815,0,,,,,,
E00003815,1,,,,,,
E00003815,2,,,,,,
E00003815,4,,,,,,
E00003815,5,,,,,,
E00004004,0,,,,,,
E00004004,1,,,,,,
E00004073,0,,,,,,
E00004073,1,,,,,,
E00004085,0,,,,,,
E00004085,1,,,,,,
E00004111,0,,,,,,
E00004111,1,,,,,,
E00004314,0,,,,,,
E00004314,1,,,,,,
E00004395,0,,,,,,
E00004395,1,,,,,,
E00004395,2,,,,,,
E00004395,4,,,,,,
E00004395,5,,,,,,
E00004578,0,,,,,,
E00004578,1,,,,,,
E00004578,4,,,,,,
E00004578,5,,,,,,
E00004579,0,,,,,,
E00004579,1,,,,,,
E00004579,3,,,,,,
E00004579,5,,,,,,
E00004664,0,,,,,,
E00004664,1,,,,,,
E00004664,5,,,,,,
E00004666,0,,,,,,
E00004666,1,,,,,,
E00004666,4,,,,,,
E00004666,5,,,,,,
E00004875,0,,,,,,
E00004875,1,,,,,,
E00004875,5,,,,,,
E00004922,0,,,,,,
E00004922,1,,,,,,
E00004922,3,,,,,,
E00004922,5,,,,,,
E00005025,0,,,,,,
E00005025,1,,,,,,
E00005370,0,,,,,,
E00005370,1,,,,,,
E00005370,2,,,,,,
E00005370,5,,,,,,
E00005373,0,,,,,,
E00005373,1,,,,,,
E00005816,0,,,,,,
E00005816,1,,,,,,
E00005816,2,,,,,,
E00005816,3,,,,,,
E00006093,0,,,,,,
E00006093,1,,,,,,
E00006093,2,,,,,,
E00006093,3,,,,,,
E00006197,0,,,,,,
E00006197,1,,,,,,
E00006197,5,,,,,,
E00006244,0,,,,,,
E00006244,1,,,,,,
E00006244,2,,,,,,
E00006244,3,,,,,,
E00006244,5,,,,,,
E00006511,0,,,,,,
E00006511,1,,,,,,
E00006511,4,,,,,,
E00006590,0,,,,,,
E00006590,1,,,,,,
E00006590,5,,,,,,
E00006591,0,,,,,,
E00006591,1,,,,,,
E00006591,4,,,,,,
E00006591,5,,,,,,
E00007080,0,,,,,,
E00007080,1,,,,,,
E00007083,0,,,,,,
E00007083,1,,,,,,
E00007128,0,,,,,,
E00007128,1,,,,,,
E00007128,4,,,,,,
E00007129,0,,,,,,
E00007129,1,,,,,,
E00007129,4,,,,,,
E00007129,5,,,,,,
E00007322,0,,,,,,
E00007322,1,,,,,,
E00007322,2,,,,,,
E00007322,3,,,,,,
E00007322,5,,,,,,
E00007768,0,,,,,,
